sequence,precision,recall,map50,map50-95
2019_t22_vid2_16579_16602,0.9255835383018605,0.7504920294762998,0.8567593785461445,0.5741083850939145
2019_t17_vid15_9089_9148,0.752467915858695,0.8374816075229471,0.9273366930927278,0.6057429188296805
2019_t22_vid2_12954_12975,0.9132533986845374,0.7856412779223139,0.8592350914057159,0.4847024045887836
2020_t1_vid81_240_420,0.6922587815838691,0.7349749687578726,0.775590870823033,0.5153204247616102
2019_t22_vid3_10669_10733,0.9318365096560406,0.9153225806451613,0.952829887311893,0.6778555139369442
2019_t17_vid14_5249_5308,0.7137811727888776,0.62235803412274,0.6936240517931702,0.41876923968625024
2020_t1_vid35_5100_5280,0.7162291322208958,0.8457180500658761,0.7412408033545925,0.5506214701095599
2020_t6_vid54_1830_1980,0.8909939299817751,0.7316001434313075,0.8807181451805346,0.7483027789806528
2019_t22_vid3_14802_14820,0.8170327732053841,0.723251343579411,0.8223447507112946,0.5931436120245787
2019_t22_vid3_1114_1248,0.9031891993683131,0.8561898135506089,0.9074370318550411,0.6160653911804843
2019_t17_vid7_16139_16198,0.8335521601659066,0.6606639483305248,0.7668353871995869,0.4926049151907751
2019_t21_vid1_16402_16461,0.8201929833681566,0.7785194254638959,0.8374320707370746,0.4601733240331372
2019_t17_vid15_15119_15178,0.7024772346391362,0.8329604772557793,0.802905496172446,0.5705994068036604
2019_t17_vid20_9149_9208,0.9986923993515189,1.0,0.995,0.611000053566737
2019_t15_vid5_8010_8069,0.9943714311682726,0.9545454545454546,0.99125,0.7370014675768031
2019_t22_vid2_11057_11108,0.9278854236540433,0.938996017662395,0.9649274090500706,0.65638825617485
2019_t15_vid7_13680_13739,0.818615569849523,0.7228865347712929,0.821222089603149,0.5556797812808811
2019_t21_vid18_3900_3959,0.7835391041446927,0.6826086956521739,0.7002391955500626,0.44208284938202247
2019_t22_vid3_11774_11852,0.9462595105168434,0.9614039026021737,0.976435077051365,0.6671153208738085
2020_t1_vid41_7290_7320,0.8591843980026759,0.9272727272727272,0.8802062651916236,0.7658168035628934
2019_t21_vid1_7709_7768,0.6688611866347464,0.6931809462326577,0.6391642503804584,0.41930153243542456
2020_t1_vid77_16410_16530,0.8321588750747304,0.7115079365079364,0.8267267688445921,0.5554936496485061
2019_t22_vid3_14720_14764,0.913261049739725,0.8882906280146237,0.9482168032211249,0.6423642887817242
2019_t22_vid17_1582_1638,0.7205764760396799,0.7035087719298245,0.7039491283198877,0.31719875478195414
2019_t15_vid2_9990_10049,0.9785971030617322,0.9160818713450292,0.9711874436574417,0.8252389290342921
2019_t22_vid10_781_1381,0.8173624012101471,0.8063833537465417,0.8605103610439325,0.5933333379824008
2020_t1_vid41_2940_3000,0.8958729536340971,0.8561839569349372,0.9277659672360291,0.6038132569814285
2019_t21_vid11_17893_17952,0.8821940942920699,0.45544593062806843,0.5014313400590401,0.3494390987948113
2019_t22_vid3_11237_11265,0.9651309649901822,0.9201541105197265,0.9595939213535705,0.7177464914662566
2019_t22_vid2_11138_11152,0.9320756587621202,0.8315315315315315,0.879665375127955,0.5585760822653271
2019_t21_vid1_14819_14878,0.8444613804991288,0.6855950161068435,0.7364855916047504,0.4793772815960722
2019_t15_vid5_12810_12869,0.9649614513281402,0.9288508771146213,0.9758990560648594,0.8028696819362459
2020_t6_vid69_1770_1860,0.8506491066213862,0.817747461479338,0.8561382964359487,0.5564690253014812
2019_t21_vid6_6899_6958,0.7047144661825983,0.7237731078105671,0.7606090910714305,0.5328470264064922
2019_t22_vid2_6458_6480,0.9540220012401748,0.9414745169757146,0.9599701939205895,0.7630221052533168
2020_t5_vid64_3150_3300,0.8398841343968728,0.7883527026199955,0.8963456121204423,0.6150841339526288
2019_t22_vid17_1261_1325,0.6913614873459962,0.7816736210755022,0.7807600304154505,0.4853277761985776
2019_t22_vid3_11707_11742,0.9638798395686461,0.947484501669051,0.9743085590411036,0.6742205406778843
2019_t17_vid6_8609_8668,0.928823738522935,0.9431267317597153,0.9742517439421994,0.7502121253163918
2019_t17_vid12_15239_15298,0.9738753218681473,0.8829993247245793,0.9699958109188038,0.6910536780793664
2019_t22_vid1_7276_7298,0.929521647176482,0.7487801686782821,0.8042171482690936,0.6306011357852355
2020_t6_vid54_7680_7830,0.8672948931263571,0.856897304964944,0.9263681876399178,0.6984125619546799
