  Rank       HOTA    fuse_score    match_thresh    new_track_scaling_factor    track_buffer    track_high_scaling_factor    track_low_thresh  tracker_type
------  ---------  ------------  --------------  --------------------------  --------------  ---------------------------  ------------------  --------------
     0  0.648695              0      5.14987                    0.279717                 43                  0.000137113         0.452865     bytetrack
     1  0.648471              0      9.99773                    0.39922                  26                  4.82716e-05         0.306588     bytetrack
     2  0.648082              0      2.79485                    0.372238                 29                  0.0946485           0.29393      bytetrack
     3  0.647905              1      9.99877                    0.35155                  60                  4.82716e-05         0.425665     bytetrack
     4  0.647383              0      4.43643                    0.47845                  29                  0.424596            0.134984     bytetrack
     5  0.647156              0      5.07747                    1.05045e-05              46                  0.0254913           0.30976      bytetrack
     6  0.646962              0      3.93833                    0.122392                 60                  0.241377            0.230907     bytetrack
     7  0.646936              1      3.81054                    0.561081                 42                  0.587507            0.0573738    bytetrack
     8  0.646824              1      8.51277                    0.502524                 27                  0.134747            0.38874      bytetrack
     9  0.64676               1      6.31062                    0.609285                 41                  0.353867            0.153396     bytetrack
    10  0.646733              0      5.27134                    0.180928                 37                  0.000137113         0.557075     bytetrack
    11  0.646667              1      9.99873                    0.442977                 23                  0.182759            0.438747     bytetrack
    12  0.646645              1      7.15436                    0.46645                  46                  0.0896049           0.205522     bytetrack
    13  0.64635               0      3.83198                    8.6686e-05               60                  4.06988e-05         0.575447     bytetrack
    14  0.646071              1      8.48514                    0.648861                 39                  0.483112            0.137076     bytetrack
    15  0.646065              1      9.84559                    0.657987                 33                  0.346638            0.249349     bytetrack
    16  0.645928              1      9.82633                    0.67826                  28                  0.477201            0.0724247    bytetrack
    17  0.645843              0      7.29065                    0.329006                 44                  0.000151312         0.491792     bytetrack
    18  0.64581               1      9.99865                    0.696845                 55                  0.42789             0.132939     bytetrack
    19  0.645704              0      3.96904                    0.0477858                38                  0.324896            0.484113     bytetrack
    20  0.645454              0      2.70743                    0.153769                 41                  8.6918e-05          0.615825     bytetrack
    21  0.645448              0      3.22413                    0.383658                 57                  0.306546            0.104195     bytetrack
    22  0.645356              0      3.72988                    0.000151054              60                  0.357353            0.0548301    bytetrack
    23  0.645136              1      9.99952                    0.574159                 47                  0.0227576           0.421467     bytetrack
    24  0.645043              1      9.99994                    0.418179                 52                  0.323056            0.491685     bytetrack
    25  0.643948              1      4.56208                    0.565421                 60                  0.591983            0.000448755  bytetrack
    26  0.643579              1      9.58735                    0.525482                 60                  0.622705            0.201187     bytetrack
    27  0.643079              0      5.76347                    0.264821                 36                  0.000151312         0.64961      bytetrack
    28  0.642245              1      9.99963                    0.514269                 41                  0.000294107         0.126292     bytetrack
    29  0.640857              1      6.53301                    0.510491                 52                  0.400964            0.00014199   bytetrack
    30  0.640849              0      6.08182                    0.519636                 34                  0.162872            0.0195325    bytetrack
    31  0.640653              1      9.98574                    0.238945                 60                  0.000137113         0.677394     bytetrack
    32  0.639042              0      4.18364                    0.107165                 42                  4.11767e-05         0.704997     bytetrack
    33  0.635729              0      4.19389                    0.198288                 39                  1.68072e-05         0.103131     bytetrack
    34  0.634786              0      5.62811                    0.368676                 60                  0.000106657         0.133279     bytetrack
    35  0.633602              1      5.33387                    0.61134                  56                  0.0708872           0.022364     bytetrack
    36  0.633158              0      7.23642                    0.114941                 60                  6.25803e-05         0.130431     bytetrack
    37  0.630012              1      6.48803                    0.659664                 56                  0.765831            0.000103353  bytetrack
    38  0.626238              0      8.11049                    0.415389                 19                  0.000195141         0.382363     bytetrack
    39  0.624001              0      4.17675                    0.0602234                21                  0.000151312         0.611269     bytetrack
    40  0.62307               0      3.77315                    0.436785                  6                  4.16635e-05         0.266084     bytetrack
    41  0.622921              0      2.76601                    0.627171                  4                  0.130584            0.23802      bytetrack
    42  0.622472              0      8.91244                    0.410525                 21                  0.182387            0.568773     bytetrack
    43  0.621487              0      2.61683                    0.375642                  7                  0.354062            0.0879612    bytetrack
