  Rank       HOTA    fuse_score    match_thresh    new_track_scaling_factor    track_buffer    track_high_scaling_factor    track_low_thresh  tracker_type
------  ---------  ------------  --------------  --------------------------  --------------  ---------------------------  ------------------  --------------
     0  0.671231              1        5.95381                  0.54361                  31                  0.418802            0.0529164    bytetrack
     1  0.666737              0        6.48574                  0.508818                 39                  0.416536            0.138125     bytetrack
     2  0.663468              1        9.99948                  0.470908                 47                  0.274774            0.159588     bytetrack
     3  0.662919              1        8.01722                  0.531491                 30                  0.168196            0.19792      bytetrack
     4  0.661857              0        9.1764                   0.476449                 60                  0.44325             0.150327     bytetrack
     5  0.661417              0        6.51002                  0.542995                 57                  0.521551            0.0545529    bytetrack
     6  0.661375              0        3.60203                  0.433815                 35                  0.513669            0.000331199  bytetrack
     7  0.661374              1        8.28286                  0.514178                 48                  0.298559            0.198887     bytetrack
     8  0.661204              1        9.99948                  0.394412                 45                  3.77088e-05         0.321848     bytetrack
     9  0.660606              1        8.90362                  0.562957                 56                  0.353935            0.135866     bytetrack
    10  0.660344              1        6.44111                  0.563693                 40                  0.299793            0.237209     bytetrack
    11  0.660157              0        9.99948                  0.468199                 36                  0.159146            0.274244     bytetrack
    12  0.659512              0        8.25687                  0.613565                 60                  0.397661            0.0674965    bytetrack
    13  0.659463              0        9.99948                  0.483587                 60                  0.288772            0.29446      bytetrack
    14  0.659368              0        9.95209                  0.548364                 60                  0.52893             0.142407     bytetrack
    15  0.658414              1        9.99895                  0.44466                  60                  0.000179703         0.287885     bytetrack
    16  0.657349              0        6.78017                  0.497133                 41                  0.177971            0.195917     bytetrack
    17  0.656645              1        4.37041                  0.599074                 46                  0.403691            0.00016608   bytetrack
    18  0.656576              1        9.99948                  0.426328                 60                  0.135512            0.252357     bytetrack
    19  0.656141              1        6.73463                  0.572522                 35                  0.186826            0.019567     bytetrack
    20  0.653896              1        7.15436                  0.46645                  46                  0.0896049           0.205522     bytetrack
    21  0.652518              1        9.99978                  0.5148                   33                  0.113251            0.40687      bytetrack
    22  0.650899              0        9.99948                  0.519978                 49                  0.352706            0.00010627   bytetrack
    23  0.650153              0        7.31628                  0.488384                 60                  0.385106            0.000110826  bytetrack
    24  0.65006               1        9.9956                   0.525158                 53                  0.000123698         0.151245     bytetrack
