  Rank       HOTA    fuse_score    match_thresh    new_track_scaling_factor    track_buffer    track_high_scaling_factor    track_low_thresh  tracker_type
------  ---------  ------------  --------------  --------------------------  --------------  ---------------------------  ------------------  --------------
     0  0.706298              0     9.99952                     0.454767                 48                  0.28717             0.355772     bytetrack
     1  0.705916              1     7.86664                     0.258378                 60                  0.401521            0.221842     bytetrack
     2  0.705629              1     9.99994                     0.364231                 60                  0.382013            0.403832     bytetrack
     3  0.704519              1     8.87983                     0.544494                 60                  0.582303            0.130967     bytetrack
     4  0.704474              1     8.57761                     0.454607                 60                  0.197292            0.342878     bytetrack
     5  0.703052              0     9.99935                     0.232709                 59                  0.000527866         0.30908      bytetrack
     6  0.702751              1     9.99952                     0.293954                 60                  0.000374668         0.5321       bytetrack
     7  0.7025                1     9.99952                     0.596229                 54                  0.20664             0.378264     bytetrack
     8  0.702458              0     9.99849                     0.258115                 56                  9.20663e-05         0.560631     bytetrack
     9  0.701942              0     7.20927                     0.446824                 60                  0.553588            0.270244     bytetrack
    10  0.70165               0     5.98603                     0.349833                 58                  0.110022            0.174374     bytetrack
    11  0.701453              0     7.89182                     0.414404                 60                  2.70606e-05         0.439995     bytetrack
    12  0.70122               0     3.49757                     0.508516                 46                  0.277073            0.118542     bytetrack
    13  0.701044              0     7.23936                     0.623326                 52                  1.5058e-05          0.373654     bytetrack
    14  0.700973              0     9.65962                     0.403461                 60                  0.000117824         0.465738     bytetrack
    15  0.700876              0     2.39901                     0.341871                 53                  0.0958743           0.135454     bytetrack
    16  0.700491              1     7.15436                     0.46645                  46                  0.0896049           0.205522     bytetrack
    17  0.698393              0     7.33441                     0.472808                 60                  2.144e-05           0.188088     bytetrack
    18  0.697751              1     9.99935                     0.431391                 59                  0.203292            0.586069     bytetrack
    19  0.697482              1     8.58965                     0.66728                  60                  0.0803928           0.101891     bytetrack
    20  0.696952              0     6.72056                     0.329803                 50                  0.583432            0.000130355  bytetrack
    21  0.696413              1     9.99994                     0.524389                 50                  0.000163398         0.140955     bytetrack
    22  0.695271              0     4.4746                      0.414192                 60                  0.418579            0.000205762  bytetrack
    23  0.694354              0     9.99963                     0.166215                 60                  0.715913            0.000307776  bytetrack
    24  0.693648              1     5.45059                     0.46301                  60                  0.330637            0.00016942   bytetrack
    25  0.69266               0     2.0266                      0.580166                 60                  0.183296            0.000363921  bytetrack
    26  0.687439              0     2.4574                      1.64145e-05              31                  0.000534221         0.393328     bytetrack
    27  0.686898              0     9.99935                     0.299648                 32                  1.25147e-05         0.438376     bytetrack
