  Rank       HOTA    match_thresh    track_buffer    track_thresh  tracker_type
------  ---------  --------------  --------------  --------------  --------------
     0  0.780468      0.831381                 10     0.294631     centroidtrack
     1  0.779195      5.68172                   7     0.346405     centroidtrack
     2  0.779077      3.92233                   1     0.270923     centroidtrack
     3  0.778879      2.97305                  22     0.274437     centroidtrack
     4  0.778583      5.1036                    2     0.316123     centroidtrack
     5  0.778351      1.76759                   3     0.325119     centroidtrack
     6  0.778337      0.716341                 40     0.250445     centroidtrack
     7  0.778297      7.28287                  60     0.181696     centroidtrack
     8  0.778199      9.99992                  60     0.184072     centroidtrack
     9  0.778199      2.51912                  26     0.184955     centroidtrack
    10  0.778199      6.10702                  60     0.185027     centroidtrack
    11  0.777973      8.01814                  59     0.335364     centroidtrack
    12  0.777896      1.08243                  49     0.286418     centroidtrack
    13  0.777455      7.22557                  35     0.345055     centroidtrack
    14  0.777394      1.37222                  20     0.163254     centroidtrack
    15  0.77721       0.354388                  4     0.423122     centroidtrack
    16  0.776967      8.73309                  34     0.366984     centroidtrack
    17  0.776594      9.8879                    4     0.159079     centroidtrack
    18  0.77618       5.02774                  60     0.371679     centroidtrack
    19  0.77618       2.53226                  60     0.370469     centroidtrack
    20  0.775951      5.0063                   46     0.15504      centroidtrack
    21  0.775811      9.85197                   5     0.234629     centroidtrack
    22  0.775811      1.54143                  60     0.232909     centroidtrack
    23  0.775811      4.26751                  60     0.231534     centroidtrack
    24  0.77547       5.76883                  60     0.188261     centroidtrack
    25  0.775388      4.61878                   1     0.193637     centroidtrack
    26  0.775333      3.12591                  60     0.198558     centroidtrack
    27  0.775266      9.99932                  20     0.22184      centroidtrack
    28  0.775253      9.87069                   4     0.195933     centroidtrack
    29  0.774839      6.2574                   60     0.385904     centroidtrack
    30  0.774623      1.29888                   3     0.380938     centroidtrack
    31  0.774415      6.64825                  14     0.404696     centroidtrack
    32  0.773678      0.609016                  1     0.464718     centroidtrack
    33  0.7733        3.73528                  48     0.43444      centroidtrack
    34  0.772142      0.349641                  1     0.53604      centroidtrack
    35  0.771036      9.49171                  19     0.441482     centroidtrack
    36  0.770976      4.57591                  25     0.446712     centroidtrack
    37  0.770804      9.18365                  35     0.513779     centroidtrack
    38  0.770718      6.99752                  31     0.122706     centroidtrack
    39  0.770703      9.99926                  11     0.502344     centroidtrack
    40  0.770622      9.99963                  60     0.48726      centroidtrack
    41  0.770137      8.16475                  28     0.47051      centroidtrack
    42  0.770137      1.75825                  39     0.472902     centroidtrack
    43  0.77006       2.66886                  38     0.107597     centroidtrack
    44  0.76999       3.54431                  44     0.117266     centroidtrack
    45  0.764254      5.5845                   54     0.594666     centroidtrack
    46  0.761319      9.99992                  60     0.0790156    centroidtrack
    47  0.759774      8.68583                  29     0.612578     centroidtrack
    48  0.755216      6.06566                  45     0.0559349    centroidtrack
    49  0.755216      3.05125                   1     0.0563897    centroidtrack
    50  0.747924      6.42411                  53     0.671535     centroidtrack
    51  0.745591      9.87954                  47     0.678697     centroidtrack
    52  0.745382      7.23287                  43     0.681908     centroidtrack
    53  0.740478      5.76458                   7     0.702741     centroidtrack
    54  0.740478      9.8412                    1     0.70252      centroidtrack
    55  0.733881      7.50486                  23     0.0247694    centroidtrack
    56  0.722615      3.99369                  54     0.731493     centroidtrack
    57  0.685466      5.32708                  19     0.778629     centroidtrack
    58  0.665105      0.0512062                10     0.535225     centroidtrack
    59  0.62126       9.86121                  53     0.00110519   centroidtrack
    60  0.608914      5.61992                  60     0.000878976  centroidtrack
    61  0.595861      3.40991                   5     0.822725     centroidtrack
    62  0.583906      4.10917                  10     0.000595142  centroidtrack
    63  0.550216      9.99372                   6     0.000404699  centroidtrack
    64  0.542299      6.26128                  30     0.000361506  centroidtrack
    65  0.534823      0.71065                  30     0.000325045  centroidtrack
    66  0.51758       9.92253                  14     0.846123     centroidtrack
    67  0.500165      2.06059                  60     0.000202771  centroidtrack
    68  0.351072      1.88371                  52     0.878381     centroidtrack
    69  0.0770294     0.00476432                1     0.000847549  centroidtrack
    70  0.0402272     0.00152551                1     0.290615     centroidtrack
    71  0.0380272     0.000915541              60     0.0538263    centroidtrack
    72  0.0371508     0.000265013              60     0.357665     centroidtrack
    73  0.0126114     9.34282                  31     0.957324     centroidtrack
    74  0.0103794     0.726825                 58     0.966735     centroidtrack
