  Rank       HOTA    match_thresh    track_buffer    track_thresh  tracker_type
------  ---------  --------------  --------------  --------------  --------------
     0  0.794633       0.999538                60     0.279024     ioutrack
     1  0.794459       0.968732                60     0.295035     ioutrack
     2  0.794328       0.969768                57     0.316238     ioutrack
     3  0.794215       0.978538                 1     0.318239     ioutrack
     4  0.794191       0.999856                40     0.299472     ioutrack
     5  0.794191       0.986614                60     0.296041     ioutrack
     6  0.794064       0.982615                55     0.341257     ioutrack
     7  0.79406        1                        5     0.316923     ioutrack
     8  0.79406        0.999895                60     0.317526     ioutrack
     9  0.794034       0.999979                45     0.315057     ioutrack
    10  0.794028       1                       26     0.329961     ioutrack
    11  0.793782       1                       10     0.255171     ioutrack
    12  0.793732       0.955876                52     0.331433     ioutrack
    13  0.793376       0.999896                54     0.290049     ioutrack
    14  0.793376       0.99988                  1     0.285818     ioutrack
    15  0.793376       1                       29     0.292184     ioutrack
    16  0.793072       0.999931                36     0.263011     ioutrack
    17  0.793072       0.999897                45     0.264603     ioutrack
    18  0.792839       0.999611                35     0.337445     ioutrack
    19  0.792839       0.99988                 15     0.335707     ioutrack
    20  0.792691       0.976925                 4     0.275548     ioutrack
    21  0.792536       0.999961                19     0.274514     ioutrack
    22  0.79233        0.938587                 1     0.334118     ioutrack
    23  0.792118       0.985199                 5     0.234629     ioutrack
    24  0.792066       0.999202                 1     0.363663     ioutrack
    25  0.790754       0.999964                54     0.241857     ioutrack
    26  0.790463       0.999994                60     0.384761     ioutrack
    27  0.79037        0.999957                47     0.198397     ioutrack
    28  0.79037        0.999903                17     0.198661     ioutrack
    29  0.790185       0.999997                46     0.379212     ioutrack
    30  0.789369       0.931032                60     0.372976     ioutrack
    31  0.788445       0.999957                60     0.209791     ioutrack
    32  0.787914       1                       32     0.401395     ioutrack
    33  0.787846       0.999957                31     0.16942      ioutrack
    34  0.787757       0.999817                19     0.415469     ioutrack
    35  0.78709        1                        1     0.433221     ioutrack
    36  0.786266       0.935474                54     0.433639     ioutrack
    37  0.780694       0.922632                12     0.246973     ioutrack
    38  0.780117       0.999994                40     0.502867     ioutrack
    39  0.779407       1                       15     0.535267     ioutrack
    40  0.779382       0.919812                57     0.23423      ioutrack
    41  0.779345       0.99991                 60     0.477871     ioutrack
    42  0.778856       0.928075                60     0.531303     ioutrack
    43  0.777453       0.91126                 36     0.216386     ioutrack
    44  0.776904       0.999961                 1     0.569641     ioutrack
    45  0.776443       0.920311                30     0.399385     ioutrack
    46  0.776133       0.911211                 1     0.409717     ioutrack
    47  0.771784       0.852835                 1     0.246231     ioutrack
    48  0.771539       0.918372                35     0.513779     ioutrack
    49  0.771204       0.897966                11     0.489219     ioutrack
    50  0.762908       0.826648                60     0.50194      ioutrack
    51  0.760263       0.868595                29     0.612578     ioutrack
    52  0.75959        0.981894                32     0.0645043    ioutrack
    53  0.758612       0.801832                59     0.335364     ioutrack
    54  0.752264       0.801097                36     0.518343     ioutrack
    55  0.706878       0.750509                23     0.0247694    ioutrack
    56  0.702179       0.699779                31     0.122706     ioutrack
    57  0.69679        0.723312                43     0.681908     ioutrack
    58  0.67275        0.664856                14     0.404696     ioutrack
    59  0.612489       0.91577                 60     0.000361888  ioutrack
    60  0.610569       0.606602                45     0.0559349    ioutrack
    61  0.571202       0.576496                 7     0.702741     ioutrack
    62  0.550967       0.99998                  1     0.000148821  ioutrack
    63  0.513575       0.53275                 19     0.778629     ioutrack
    64  0.437981       0.457639                25     0.446712     ioutrack
    65  0.347447       0.399423                54     0.731493     ioutrack
    66  0.312818       0.373584                48     0.43444      ioutrack
    67  0.242667       0.341051                 5     0.822725     ioutrack
    68  0.168683       0.266952                38     0.107597     ioutrack
    69  0.072841       0.188444                52     0.878381     ioutrack
    70  0.0661628      0.1373                  20     0.163254     ioutrack
    71  0.0643988      0.129967                 3     0.380938     ioutrack
    72  0.0559463      0.0717176               40     0.250445     ioutrack
    73  0.0540368      0.00521016              10     0.535225     ioutrack
    74  0.0102084      0.934288                31     0.957324     ioutrack
