  Rank      HOTA    appearance_thresh    fuse_score  gmc_method       match_thresh  model      new_track_scaling_factor    proximity_thresh    track_buffer    track_high_scaling_factor    track_low_thresh  tracker_type    with_reid
------  --------  -------------------  ------------  -------------  --------------  -------  --------------------------  ------------------  --------------  ---------------------------  ------------------  --------------  -----------
     0  0.770081                 0.25             0  sparseOptFlow       9.99965    auto                    0.378217                    0.5              60                  0.404612            0.201755     botsort         False
     1  0.769769                 0.25             1  sparseOptFlow       9.99965    auto                    0.334715                    0.5              60                  0.298073            0.409486     botsort         False
     2  0.769609                 0.25             0  sparseOptFlow       4.09224    auto                    0.188721                    0.5              46                  4.11966e-05         0.532143     botsort         False
     3  0.769473                 0.25             1  sparseOptFlow       9.98488    auto                    0.444363                    0.5              40                  0.227262            0.245085     botsort         False
     4  0.769377                 0.25             0  sparseOptFlow       4.33808    auto                    0.400156                    0.5              32                  0.318554            0.21413      botsort         False
     5  0.769161                 0.25             0  sparseOptFlow       5.18339    auto                    6.84306e-08                 0.5              60                  0.304388            0.445326     botsort         False
     6  0.769157                 0.25             0  sparseOptFlow       9.99764    auto                    0.514169                    0.5              38                  2.45322e-05         0.31107      botsort         False
     7  0.768851                 0.25             0  sparseOptFlow       9.9993     auto                    0.358925                    0.5              60                  0.000112916         0.454675     botsort         False
     8  0.768558                 0.25             1  sparseOptFlow       9.99876    auto                    0.354662                    0.5              26                  2.45322e-05         0.429572     botsort         False
     9  0.768524                 0.25             1  sparseOptFlow       7.15436    auto                    0.46645                     0.5              46                  0.0896049           0.205522     botsort         False
    10  0.768501                 0.25             0  sparseOptFlow       4.5449     auto                    0.511411                    0.5              48                  0.000155027         0.277252     botsort         False
    11  0.768352                 0.25             0  sparseOptFlow       6.21189    auto                    0.293269                    0.5              47                  0.285959            0.432369     botsort         False
    12  0.768101                 0.25             0  sparseOptFlow       7.64369    auto                    0.428416                    0.5              39                  3.49172e-05         0.358378     botsort         False
    13  0.767816                 0.25             0  sparseOptFlow       5.87906    auto                    0.000169794                 0.5              43                  0.0055474           0.417648     botsort         False
    14  0.767684                 0.25             0  sparseOptFlow       6.93965    auto                    0.370963                    0.5              57                  0.000155027         0.544493     botsort         False
    15  0.767644                 0.25             0  sparseOptFlow       9.99683    auto                    0.200042                    0.5              25                  0.000200663         0.379236     botsort         False
    16  0.767604                 0.25             0  sparseOptFlow       4.05827    auto                    0.353671                    0.5              59                  0.498679            0.0471385    botsort         False
    17  0.767443                 0.25             0  sparseOptFlow       3.96904    auto                    0.0477858                   0.5              38                  0.324896            0.484113     botsort         False
    18  0.767291                 0.25             1  sparseOptFlow       7.64571    auto                    0.545574                    0.5              52                  0.527166            0.14344      botsort         False
    19  0.767283                 0.25             1  sparseOptFlow       8.30074    auto                    0.515643                    0.5              45                  0.395945            0.383781     botsort         False
    20  0.766745                 0.25             1  sparseOptFlow       6.23629    auto                    0.614177                    0.5              39                  0.319687            0.173193     botsort         False
    21  0.766735                 0.25             1  sparseOptFlow       8.20656    auto                    0.448882                    0.5              60                  0.114409            0.489825     botsort         False
    22  0.766669                 0.25             0  sparseOptFlow       9.99629    auto                    0.431603                    0.5              32                  0.00022642          0.489038     botsort         False
    23  0.766056                 0.25             1  sparseOptFlow       3.81054    auto                    0.561081                    0.5              42                  0.587507            0.0573738    botsort         False
    24  0.765849                 0.25             1  sparseOptFlow       9.99834    auto                    0.37341                     0.5              57                  0.113418            0.557066     botsort         False
    25  0.765463                 0.25             1  sparseOptFlow       8.47642    auto                    0.656214                    0.5              29                  0.488212            0.241432     botsort         False
    26  0.764793                 0.25             1  sparseOptFlow       9.82633    auto                    0.67826                     0.5              28                  0.477201            0.0724247    botsort         False
    27  0.764645                 0.25             1  sparseOptFlow       9.99857    auto                    0.176808                    0.5              60                  0.000194022         0.61019      botsort         False
    28  0.764202                 0.25             1  sparseOptFlow       9.99788    auto                    0.567077                    0.5              45                  0.208657            0.475386     botsort         False
    29  0.763283                 0.25             0  sparseOptFlow       5.96772    auto                    0.540288                    0.5              41                  0.288952            0.00943929   botsort         False
    30  0.762022                 0.25             0  sparseOptFlow       4.14497    auto                    0.124383                    0.5              36                  0.180324            0.636766     botsort         False
    31  0.762009                 0.25             0  sparseOptFlow       3.21393    auto                    0.611738                    0.5              39                  0.311226            0.000346948  botsort         False
    32  0.760492                 0.25             1  sparseOptFlow       5.48022    auto                    0.578007                    0.5              31                  0.438146            0.000283165  botsort         False
    33  0.760476                 0.25             0  sparseOptFlow       4.61451    auto                    0.217465                    0.5              27                  4.11966e-05         0.659473     botsort         False
    34  0.760328                 0.25             1  sparseOptFlow       9.67989    auto                    0.514763                    0.5              52                  0.125534            0.0714106    botsort         False
    35  0.759818                 0.25             1  sparseOptFlow       9.471      auto                    0.524442                    0.5              60                  0.627286            0.267805     botsort         False
    36  0.759567                 0.25             0  sparseOptFlow       5.50528    auto                    0.063277                    0.5              43                  0.0387257           0.684686     botsort         False
    37  0.757749                 0.25             1  sparseOptFlow      10          auto                    0.419564                    0.5              60                  0.602363            0.000219825  botsort         False
    38  0.75208                  0.25             1  sparseOptFlow       4.65795    auto                    0.553767                    0.5              57                  0.194218            0.000169293  botsort         False
    39  0.751466                 0.25             1  sparseOptFlow       5.66837    auto                    0.692103                    0.5              54                  0.0391128           0.0487044    botsort         False
    40  0.751422                 0.25             0  sparseOptFlow       6.57081    auto                    0.363952                    0.5               1                  0.0248802           0.391844     botsort         False
