  Rank       HOTA    appearance_thresh    fuse_score  gmc_method       match_thresh  model      new_track_scaling_factor    proximity_thresh    track_buffer    track_high_scaling_factor    track_low_thresh  tracker_type    with_reid
------  ---------  -------------------  ------------  -------------  --------------  -------  --------------------------  ------------------  --------------  ---------------------------  ------------------  --------------  -----------
     0  0.760466                  0.25             0  sparseOptFlow     3.66374      auto                    8.55648e-05                 0.5              60                  0.303381            0.284766     botsort         False
     1  0.757328                  0.25             1  sparseOptFlow     4.45928      auto                    0.474263                    0.5              47                  0.300039            0.166185     botsort         False
     2  0.756851                  0.25             0  sparseOptFlow     4.34068      auto                    0.125069                    0.5              60                  0.222019            0.36666      botsort         False
     3  0.755895                  0.25             0  sparseOptFlow     3.37178      auto                    0.00018897                  0.5              60                  0.0966791           0.404816     botsort         False
     4  0.755605                  0.25             1  sparseOptFlow     7.27743      auto                    0.380561                    0.5              60                  0.321992            0.292898     botsort         False
     5  0.755315                  0.25             1  sparseOptFlow     5.44725      auto                    0.305106                    0.5              60                  0.11082             0.312061     botsort         False
     6  0.754412                  0.25             0  sparseOptFlow     4.28459      auto                    0.287078                    0.5              60                  0.0571118           0.378148     botsort         False
     7  0.754307                  0.25             0  sparseOptFlow     4.06728      auto                    0.162883                    0.5              44                  0.000333126         0.409918     botsort         False
     8  0.754048                  0.25             1  sparseOptFlow     4.14965      auto                    0.541025                    0.5              60                  0.542939            0.0850551    botsort         False
     9  0.75349                   0.25             1  sparseOptFlow     7.87054      auto                    0.573732                    0.5              42                  0.317824            0.0911341    botsort         False
    10  0.752789                  0.25             1  sparseOptFlow     6.17168      auto                    0.578148                    0.5              54                  0.31592             0.182573     botsort         False
    11  0.752529                  0.25             1  sparseOptFlow     9.99984      auto                    0.478234                    0.5              41                  0.222096            0.288967     botsort         False
    12  0.752336                  0.25             0  sparseOptFlow     9.99984      auto                    0.423869                    0.5              34                  0.000316479         0.423538     botsort         False
    13  0.752                     0.25             0  sparseOptFlow     4.90688      auto                    0.0402044                   0.5              54                  5.70198e-05         0.431719     botsort         False
    14  0.751234                  0.25             1  sparseOptFlow     7.5158       auto                    0.316922                    0.5              60                  8.90736e-05         0.423417     botsort         False
    15  0.750704                  0.25             1  sparseOptFlow     9.99312      auto                    0.436533                    0.5              55                  0.0657551           0.342065     botsort         False
    16  0.75059                   0.25             0  sparseOptFlow     5.44879      auto                    0.198721                    0.5              41                  0.000279072         0.48496      botsort         False
    17  0.749764                  0.25             1  sparseOptFlow     5.95878      auto                    0.434767                    0.5              48                  1.55723e-05         0.352203     botsort         False
    18  0.748039                  0.25             0  sparseOptFlow     8.67487      auto                    0.341167                    0.5              42                  1.99056e-05         0.463348     botsort         False
