  Rank       HOTA    match_thresh    track_buffer    track_thresh  tracker_type
------  ---------  --------------  --------------  --------------  --------------
     0  0.784339       0.998826                36     0.353787     ioutrack
     1  0.784234       0.999844                20     0.356808     ioutrack
     2  0.784042       0.999981                11     0.33164      ioutrack
     3  0.783794       0.866724                 1     0.349736     ioutrack
     4  0.78354        0.947771                41     0.352338     ioutrack
     5  0.783428       0.884082                51     0.360474     ioutrack
     6  0.78335        0.957287                30     0.35864      ioutrack
     7  0.783325       0.904347                60     0.364289     ioutrack
     8  0.782668       0.999981                 1     0.319128     ioutrack
     9  0.782645       0.801832                59     0.335364     ioutrack
    10  0.781957       0.931968                 7     0.298178     ioutrack
    11  0.781682       0.873283                39     0.323691     ioutrack
    12  0.781451       0.999803                46     0.308331     ioutrack
    13  0.781198       0.999936                60     0.315021     ioutrack
    14  0.781151       0.999931                31     0.276854     ioutrack
    15  0.780673       0.827442                 1     0.288839     ioutrack
    16  0.780554       0.887135                60     0.274228     ioutrack
    17  0.780015       0.884646                19     0.265184     ioutrack
    18  0.779904       0.789401                10     0.302956     ioutrack
    19  0.7797         0.999769                40     0.204102     ioutrack
    20  0.779424       0.880003                32     0.2074       ioutrack
    21  0.778059       0.999863                60     0.188328     ioutrack
    22  0.778008       0.999981                18     0.250819     ioutrack
    23  0.777492       0.999981                 1     0.424736     ioutrack
    24  0.777478       0.835346                19     0.178723     ioutrack
    25  0.777385       0.912313                50     0.211265     ioutrack
    26  0.77733        0.712771                 1     0.317392     ioutrack
    27  0.777259       0.985199                 5     0.234629     ioutrack
    28  0.777246       0.999955                60     0.417494     ioutrack
    29  0.776457       0.861255                25     0.419547     ioutrack
    30  0.776326       0.72067                 60     0.261496     ioutrack
    31  0.776307       0.732769                51     0.210478     ioutrack
    32  0.774551       0.753387                 1     0.389564     ioutrack
    33  0.774239       0.765208                60     0.424123     ioutrack
    34  0.774021       0.999674                24     0.452491     ioutrack
    35  0.77378        0.773646                60     0.145661     ioutrack
    36  0.773183       0.892558                 9     0.443024     ioutrack
    37  0.773146       0.696029                14     0.219804     ioutrack
    38  0.773141       0.962933                41     0.45377      ioutrack
    39  0.772709       0.999482                33     0.135939     ioutrack
    40  0.771416       0.767248                44     0.134516     ioutrack
    41  0.771145       0.673529                33     0.366081     ioutrack
    42  0.769232       0.894735                60     0.502495     ioutrack
    43  0.769115       0.918372                35     0.513779     ioutrack
    44  0.768167       0.830487                40     0.52921      ioutrack
    45  0.767715       0.647722                38     0.226606     ioutrack
    46  0.766709       0.664856                14     0.404696     ioutrack
    47  0.766653       0.763635                 1     0.528075     ioutrack
    48  0.765794       0.699779                31     0.122706     ioutrack
    49  0.76053        0.579449                60     0.206113     ioutrack
    50  0.759631       0.659039                44     0.521498     ioutrack
    51  0.758816       0.999976                57     0.0534365    ioutrack
    52  0.758633       0.672617                20     0.567618     ioutrack
    53  0.755538       0.868595                29     0.612578     ioutrack
    54  0.749578       0.606602                45     0.0559349    ioutrack
    55  0.745928       0.596386                60     0.605787     ioutrack
    56  0.739919       0.563088                37     0.630027     ioutrack
    57  0.738756       0.723312                43     0.681908     ioutrack
    58  0.734842       0.750509                23     0.0247694    ioutrack
    59  0.724321       0.576496                 7     0.702741     ioutrack
    60  0.709022       0.457639                25     0.446712     ioutrack
    61  0.674783       0.559462                60     0.00203608   ioutrack
    62  0.670281       0.842217                42     0.00187222   ioutrack
    63  0.663442       0.53275                 19     0.778629     ioutrack
    64  0.628265       0.399423                54     0.731493     ioutrack
    65  0.627345       0.373584                48     0.43444      ioutrack
    66  0.548549       0.837429                 1     0.000192372  ioutrack
    67  0.506906       0.341051                 5     0.822725     ioutrack
    68  0.457709       0.266952                38     0.107597     ioutrack
    69  0.196911       0.188444                52     0.878381     ioutrack
    70  0.16043        0.1373                  20     0.163254     ioutrack
    71  0.149813       0.129967                 3     0.380938     ioutrack
    72  0.038835       0.0717176               40     0.250445     ioutrack
    73  0.0186251      0.00521016              10     0.535225     ioutrack
    74  0.0148947      0.934288                31     0.957324     ioutrack
