  Rank       HOTA    match_thresh    track_buffer    track_thresh  tracker_type
------  ---------  --------------  --------------  --------------  --------------
     0  0.664239       0.811727                16     0.392192     ioutrack
     1  0.663618       0.783612                 1     0.403476     ioutrack
     2  0.663603       0.999936                 1     0.408187     ioutrack
     3  0.663226       0.898223                 1     0.40665      ioutrack
     4  0.663031       0.930007                41     0.401291     ioutrack
     5  0.662843       0.99998                 23     0.442877     ioutrack
     6  0.662792       0.909395                49     0.404692     ioutrack
     7  0.662614       0.876218                11     0.418403     ioutrack
     8  0.66253        0.999977                27     0.410738     ioutrack
     9  0.662455       0.765419                 6     0.407268     ioutrack
    10  0.662411       0.847679                 1     0.443786     ioutrack
    11  0.662254       0.976219                35     0.388286     ioutrack
    12  0.662138       0.764824                26     0.41023      ioutrack
    13  0.661871       0.934561                26     0.428882     ioutrack
    14  0.661782       0.729361                60     0.403891     ioutrack
    15  0.661759       0.999971                42     0.431371     ioutrack
    16  0.661607       0.999999                 5     0.365328     ioutrack
    17  0.661459       0.702581                 1     0.428281     ioutrack
    18  0.661437       0.914198                60     0.400183     ioutrack
    19  0.661401       0.887664                27     0.383744     ioutrack
    20  0.661288       0.999971                53     0.397534     ioutrack
    21  0.660957       0.817452                40     0.398678     ioutrack
    22  0.660828       0.986066                15     0.420713     ioutrack
    23  0.660776       0.949413                 5     0.425143     ioutrack
    24  0.660656       0.664856                14     0.404696     ioutrack
    25  0.660192       0.896649                35     0.452229     ioutrack
    26  0.659898       0.627928                60     0.401522     ioutrack
    27  0.658573       0.679673                 5     0.374952     ioutrack
    28  0.65853        0.643898                29     0.388423     ioutrack
    29  0.658515       0.673062                52     0.36283      ioutrack
    30  0.658139       0.856854                 5     0.34149      ioutrack
    31  0.658099       0.999497                 1     0.315806     ioutrack
    32  0.657931       0.801832                59     0.335364     ioutrack
    33  0.657549       0.742438                19     0.334426     ioutrack
    34  0.656929       0.999964                60     0.330194     ioutrack
    35  0.65642        0.999713                60     0.463492     ioutrack
    36  0.656145       0.999608                 8     0.290341     ioutrack
    37  0.656116       0.999787                18     0.296758     ioutrack
    38  0.654517       0.661169                43     0.467612     ioutrack
    39  0.653843       0.721065                36     0.284839     ioutrack
    40  0.653618       0.653943                60     0.321897     ioutrack
    41  0.652548       0.999999                43     0.258344     ioutrack
    42  0.650687       0.873345                29     0.209178     ioutrack
    43  0.649788       0.999681                20     0.202998     ioutrack
    44  0.649378       0.985199                 5     0.234629     ioutrack
    45  0.647768       0.730393                 1     0.480233     ioutrack
    46  0.646056       0.784976                49     0.170908     ioutrack
    47  0.643801       0.615118                60     0.199463     ioutrack
    48  0.643266       0.796278                60     0.495428     ioutrack
    49  0.643217       0.609051                37     0.201323     ioutrack
    50  0.639741       0.999999                 1     0.510433     ioutrack
    51  0.638518       0.918372                35     0.513779     ioutrack
    52  0.635902       0.696605                18     0.509938     ioutrack
    53  0.635308       0.699779                31     0.122706     ioutrack
    54  0.623308       0.571708                60     0.529608     ioutrack
    55  0.616637       0.999988                33     0.0714206    ioutrack
    56  0.607338       0.606602                45     0.0559349    ioutrack
    57  0.602392       0.457639                25     0.446712     ioutrack
    58  0.598684       0.868595                29     0.612578     ioutrack
    59  0.576041       0.999905                60     0.0338714    ioutrack
    60  0.566842       0.750509                23     0.0247694    ioutrack
    61  0.555566       0.723312                43     0.681908     ioutrack
    62  0.535133       0.576496                 7     0.702741     ioutrack
    63  0.532511       0.373584                48     0.43444      ioutrack
    64  0.478354       0.399423                54     0.731493     ioutrack
    65  0.445809       0.53275                 19     0.778629     ioutrack
    66  0.393712       0.266952                38     0.107597     ioutrack
    67  0.322704       0.341051                 5     0.822725     ioutrack
    68  0.221501       0.790117                 1     0.000141782  ioutrack
    69  0.136062       0.1373                  20     0.163254     ioutrack
    70  0.129676       0.188444                52     0.878381     ioutrack
    71  0.121594       0.129967                 3     0.380938     ioutrack
    72  0.0328871      0.0717176               40     0.250445     ioutrack
    73  0.0173264      0.00521016              10     0.535225     ioutrack
    74  0              0.934288                31     0.957324     ioutrack
