  Rank       HOTA    fuse_score    match_thresh    new_track_scaling_factor    track_buffer    track_high_scaling_factor    track_low_thresh  tracker_type
------  ---------  ------------  --------------  --------------------------  --------------  ---------------------------  ------------------  --------------
     0  0.588673              1       4.61512                   0.580144                 46                  0.424818            0.0182041    bytetrack
     1  0.588367              0       4.43561                   0.101907                 34                  0.107365            0.329326     bytetrack
     2  0.588329              1       5.63351                   0.137094                 60                  0.457551            0.000345954  bytetrack
     3  0.58803               0       4.02702                   0.146188                 56                  2.165e-06           0.36292      bytetrack
     4  0.58782               0       3.98056                   0.000112945              37                  0.433439            0.115255     bytetrack
     5  0.587706              0       3.95885                   0.311554                 28                  0.268247            0.26571      bytetrack
     6  0.5875                0       5.01047                   0.320781                 60                  0.456254            0.106457     bytetrack
     7  0.586676              0       6.92145                   0.253817                 28                  0.384692            0.000103587  bytetrack
     8  0.586672              1       7.15436                   0.46645                  46                  0.0896049           0.205522     bytetrack
     9  0.586396              0       4.32924                   0.66452                  39                  0.539715            0.0228778    bytetrack
    10  0.586303              1       9.70793                   0.319925                 60                  7.04789e-05         0.419025     bytetrack
    11  0.586239              1       4.47403                   0.381588                 47                  0.490783            0.000125089  bytetrack
    12  0.586005              1       8.30954                   0.114204                 44                  0.342769            0.000103587  bytetrack
    13  0.585901              0       8.0409                    0.489452                 25                  0.159616            0.347035     bytetrack
    14  0.585807              1       7.41334                   0.573213                 50                  0.434167            0.14218      bytetrack
    15  0.585606              1       3.81054                   0.561081                 42                  0.587507            0.0573738    bytetrack
    16  0.585322              0       9.43272                   0.476141                 38                  0.0608619           0.361097     bytetrack
    17  0.585203              0       8.3634                    0.472552                 25                  0.000522215         0.400977     bytetrack
    18  0.585142              0       3.67125                   0.189745                 44                  0.00354027          0.567976     bytetrack
    19  0.585028              0       3.7839                    0.244162                 29                  4.46149e-05         0.17228      bytetrack
    20  0.584923              1       9.82633                   0.67826                  28                  0.477201            0.0724247    bytetrack
    21  0.584865              1       7.54251                   0.294423                 60                  0.281758            0.000103587  bytetrack
    22  0.584229              1       8.46004                   0.609228                 60                  0.35741             0.215247     bytetrack
    23  0.584011              1       9.99976                   0.529688                 23                  0.078325            0.272933     bytetrack
    24  0.583906              0       6.81335                   0.39525                  60                  0.0743825           0.435118     bytetrack
    25  0.583758              1       8.5687                    0.581278                 27                  0.506654            0.199626     bytetrack
    26  0.582998              0       3.72185                   0.485733                 39                  0.648821            0.000106866  bytetrack
    27  0.58291               0       8.9158                    0.285863                 48                  2.12617e-05         0.155488     bytetrack
    28  0.582732              0       4.12761                   0.103396                 28                  0.000278998         0.628947     bytetrack
    29  0.582655              1       5.43931                   0.595088                 16                  0.189687            0.0405885    bytetrack
    30  0.582588              0       9.98799                   0.429434                 60                  7.04789e-05         0.533767     bytetrack
    31  0.582501              0       3.96904                   0.0477858                38                  0.324896            0.484113     bytetrack
    32  0.581407              0       7.34656                   0.584176                 14                  4.24756e-05         0.43695      bytetrack
    33  0.581361              1       8.2701                    0.661768                 32                  3.3703e-05          0.194631     bytetrack
    34  0.581134              1       4.36091                   0.76485                  38                  0.522875            0.000577994  bytetrack
    35  0.58079               1       5.01784                   0.697424                 55                  0.317587            0.000110976  bytetrack
    36  0.580788              1       8.65357                   0.540044                 23                  0.308352            0.428855     bytetrack
    37  0.580755              0       8.91244                   0.410525                 21                  0.182387            0.568773     bytetrack
    38  0.580672              1       4.79865                   0.62243                  41                  0.709977            0.000119307  bytetrack
    39  0.580014              0       6.25976                   0.487646                 22                  1.84748e-05         0.0709564    bytetrack
    40  0.5773                1       9.99512                   0.576281                 52                  0.000228931         0.504288     bytetrack
    41  0.574598              1       4.196                     0.643602                 60                  0.747009            0.000475935  bytetrack
