  Rank      HOTA    fuse_score    match_thresh    new_track_scaling_factor    track_buffer    track_high_scaling_factor    track_low_thresh  tracker_type
------  --------  ------------  --------------  --------------------------  --------------  ---------------------------  ------------------  --------------
     0  0.617573             0      4.94829                    0.230779                 46                  0.400942            0.238217     bytetrack
     1  0.616882             0      5.30272                    0.486198                 23                  0.205053            0.239827     bytetrack
     2  0.616715             0      5.33832                    0.360078                 19                  0.291468            0.194684     bytetrack
     3  0.616696             0      6.70737                    0.413988                 39                  0.0901138           0.367948     bytetrack
     4  0.616677             0      7.83816                    0.267725                 16                  3.15921e-06         0.292337     bytetrack
     5  0.616503             0      9.99977                    0.335704                 23                  0.171903            0.303937     bytetrack
     6  0.616498             0      7.41533                    0.331242                 28                  0.181878            0.167845     bytetrack
     7  0.616392             0      4.68788                    0.137953                 39                  0.163696            0.434981     bytetrack
     8  0.616302             0      8.2241                     0.163577                 60                  0.41174             0.159374     bytetrack
     9  0.616219             0      6.42981                    0.0822052                32                  0.31454             0.223245     bytetrack
    10  0.616129             0      8.94807                    9.99684e-05              16                  0.0722134           0.475035     bytetrack
    11  0.615841             0      3.11484                    0.430695                 26                  0.123857            0.330949     bytetrack
    12  0.61584              0      1.73347                    0.511665                 25                  0.203087            0.171971     bytetrack
    13  0.615598             1      9.99986                    0.257742                 44                  0.0288508           0.516047     bytetrack
    14  0.615463             1      8.39483                    0.539787                 40                  0.318754            0.227862     bytetrack
    15  0.615457             1      9.99848                    0.337097                 60                  0.457633            0.231116     bytetrack
    16  0.615331             0      4.14034                    0.427286                 48                  0.241068            0.0559993    bytetrack
    17  0.615286             1      9.99986                    0.437148                 34                  0.205882            0.263905     bytetrack
    18  0.615087             0      2.68672                    0.257241                 53                  0.500868            0.0275666    bytetrack
    19  0.614822             1      7.15436                    0.46645                  46                  0.0896049           0.205522     bytetrack
    20  0.614716             0      7.32066                    0.21901                  20                  0.126053            0.491119     bytetrack
    21  0.614624             0      9.99466                    0.25982                  37                  8.43101e-05         0.544085     bytetrack
    22  0.614365             1      6.9996                     0.569934                 37                  0.513842            0.167084     bytetrack
    23  0.614275             0      3.06372                    0.523933                 27                  0.301234            0.0329385    bytetrack
    24  0.614218             0      8.93085                    0.52627                  25                  0.0700473           0.263469     bytetrack
    25  0.613884             1      9.99901                    0.485813                 51                  3.83328e-07         0.241307     bytetrack
    26  0.613824             1      9.82633                    0.67826                  28                  0.477201            0.0724247    bytetrack
    27  0.613687             1      9.99801                    0.57488                  60                  0.286698            0.0219044    bytetrack
    28  0.613159             1      5.81016                    0.631791                 40                  0.294434            0.0369527    bytetrack
    29  0.613105             0      6.45321                    0.144356                 32                  2.72615e-06         0.62875      bytetrack
    30  0.612969             0      9.99922                    0.3155                   60                  0.260213            0.497768     bytetrack
    31  0.612559             1      3.81054                    0.561081                 42                  0.587507            0.0573738    bytetrack
    32  0.612431             0      3.96904                    0.0477858                38                  0.324896            0.484113     bytetrack
    33  0.612088             0      4.54697                    4.76464e-05              60                  0.418334            0.000552394  bytetrack
    34  0.61187              1      9.99964                    0.516482                 54                  0.330715            0.438712     bytetrack
