  Rank       HOTA    match_thresh    track_buffer    track_thresh  tracker_type
------  ---------  --------------  --------------  --------------  --------------
     0  0.781668      5.61132                  60     0.306199     centroidtrack
     1  0.781668      4.73167                  25     0.309082     centroidtrack
     2  0.780701      1.21669                  22     0.289744     centroidtrack
     3  0.780072      1.21347                   1     0.28331      centroidtrack
     4  0.779973      0.716341                 40     0.250445     centroidtrack
     5  0.779757      9.06219                  30     0.281518     centroidtrack
     6  0.779757      9.99997                  60     0.282453     centroidtrack
     7  0.779593      1.82978                  20     0.268663     centroidtrack
     8  0.779414      7.08646                  47     0.278426     centroidtrack
     9  0.77757       9.85197                   5     0.234629     centroidtrack
    10  0.77757       3.85829                  18     0.243945     centroidtrack
    11  0.77757       3.62978                  29     0.22469      centroidtrack
    12  0.776152      0.937001                 34     0.331408     centroidtrack
    13  0.775731      2.83347                  18     0.314657     centroidtrack
    14  0.775346      2.41808                  18     0.328323     centroidtrack
    15  0.774951      9.99088                   1     0.367936     centroidtrack
    16  0.77434       8.01814                  59     0.335364     centroidtrack
    17  0.773974      4.22429                   1     0.331963     centroidtrack
    18  0.773847      1.96688                  37     0.174961     centroidtrack
    19  0.773652      9.99893                  60     0.180913     centroidtrack
    20  0.773366      1.29888                   3     0.380938     centroidtrack
    21  0.773366      5.23082                  39     0.377105     centroidtrack
    22  0.773334      8.54508                  60     0.387176     centroidtrack
    23  0.773334      7.18693                  39     0.388396     centroidtrack
    24  0.773083      1.37222                  20     0.163254     centroidtrack
    25  0.773083      7.34729                  60     0.164305     centroidtrack
    26  0.773083      9.99316                  31     0.158829     centroidtrack
    27  0.772911      6.64825                  14     0.404696     centroidtrack
    28  0.772565      6.88383                  35     0.146214     centroidtrack
    29  0.772565      1.11764                  60     0.149612     centroidtrack
    30  0.772565      9.99821                   1     0.153418     centroidtrack
    31  0.772323      4.19763                  60     0.137636     centroidtrack
    32  0.772323      5.47839                   1     0.135251     centroidtrack
    33  0.772118      3.73528                  48     0.43444      centroidtrack
    34  0.772118      8.3869                   22     0.436704     centroidtrack
    35  0.772014      6.26518                  41     0.440162     centroidtrack
    36  0.770916      4.57591                  25     0.446712     centroidtrack
    37  0.770735      2.87529                  47     0.113651     centroidtrack
    38  0.770396      2.66886                  38     0.107597     centroidtrack
    39  0.770396      2.02106                  48     0.110544     centroidtrack
    40  0.769801      6.99752                  31     0.122706     centroidtrack
    41  0.767868      7.17547                  20     0.10114      centroidtrack
    42  0.767375      9.99919                  46     0.476502     centroidtrack
    43  0.767162      6.07179                  49     0.515289     centroidtrack
    44  0.767162      9.18365                  35     0.513779     centroidtrack
    45  0.767087      9.99868                   1     0.505945     centroidtrack
    46  0.765359      9.99968                   1     0.0838948    centroidtrack
    47  0.765359      8.60369                  52     0.0841381    centroidtrack
    48  0.762538      9.99507                  60     0.0734091    centroidtrack
    49  0.761312      8.68583                  29     0.612578     centroidtrack
    50  0.759664      9.99999                  60     0.634114     centroidtrack
    51  0.756985      6.06566                  45     0.0559349    centroidtrack
    52  0.755566      0.828787                 18     0.659765     centroidtrack
    53  0.754711      1.63549                  30     0.0472563    centroidtrack
    54  0.751156      3.52598                  28     0.668814     centroidtrack
    55  0.746344      7.23287                  43     0.681908     centroidtrack
    56  0.740746      5.76458                   7     0.702741     centroidtrack
    57  0.737647      7.50486                  23     0.0247694    centroidtrack
    58  0.736708      1.78866                  60     0.0241497    centroidtrack
    59  0.731514      3.11542                  60     0.0178508    centroidtrack
    60  0.729198      3.99369                  54     0.731493     centroidtrack
    61  0.694081      5.32708                  19     0.778629     centroidtrack
    62  0.639152      8.25825                  60     0.810812     centroidtrack
    63  0.6051        7.76148                  54     0.000751474  centroidtrack
    64  0.600952      3.40991                   5     0.822725     centroidtrack
    65  0.586357      2.27781                  32     0.000579538  centroidtrack
    66  0.551718      0.0512062                10     0.535225     centroidtrack
    67  0.510908      4.84264                  23     0.000248134  centroidtrack
    68  0.478171      7.74939                  26     0.000156628  centroidtrack
    69  0.468048      2.16582                   1     0.000140259  centroidtrack
    70  0.367624      1.88371                  52     0.878381     centroidtrack
    71  0.180491      0.0155296                60     0.342884     centroidtrack
    72  0.0674177     0.000426028               1     0.000587954  centroidtrack
    73  0.00704       9.34282                  31     0.957324     centroidtrack
    74  0             0.327016                  1     0.999552     centroidtrack
