  Rank       HOTA    fuse_score    match_thresh    new_track_scaling_factor    track_buffer    track_high_scaling_factor    track_low_thresh  tracker_type
------  ---------  ------------  --------------  --------------------------  --------------  ---------------------------  ------------------  --------------
     0  0.700949              0      9.07461                    0.462825                 46                  0.33379             0.162058     bytetrack
     1  0.700795              0      9.99851                    0.285344                 60                  0.353122            0.275625     bytetrack
     2  0.699958              0      9.99907                    0.441105                 54                  0.154264            0.219541     bytetrack
     3  0.699494              0      6.25138                    0.1726                   60                  0.456775            0.248331     bytetrack
     4  0.699174              1      9.99818                    0.399011                 48                  0.0660692           0.362356     bytetrack
     5  0.699159              0      9.08967                    0.397501                 60                  7.05462e-05         0.351091     bytetrack
     6  0.699073              1      7.15436                    0.46645                  46                  0.0896049           0.205522     bytetrack
     7  0.698774              1      9.9996                     0.210417                 58                  0.000258803         0.492715     bytetrack
     8  0.698031              1      9.99693                    0.219581                 60                  0.488471            0.244881     bytetrack
     9  0.6974                0      7.01892                    0.192463                 49                  0.273174            0.468503     bytetrack
    10  0.6972                1      9.99845                    1.24218e-05              60                  0.226413            0.48948      bytetrack
    11  0.696514              1      9.99902                    0.483866                 60                  0.48814             0.304422     bytetrack
    12  0.696055              0      8.3505                     3.25009e-05              60                  0.410467            0.399103     bytetrack
    13  0.695647              0      9.98054                    0.576007                 46                  0.000118768         0.363988     bytetrack
    14  0.695399              1      9.49129                    0.601995                 60                  0.618874            0.0408749    bytetrack
    15  0.694062              1      6.62995                    0.607516                 57                  0.619644            0.149195     bytetrack
    16  0.693331              1      8.14479                    0.316772                 60                  0.370531            0.000213341  bytetrack
    17  0.693218              0      9.99902                    0.253217                 60                  0.410671            0.000131302  bytetrack
    18  0.692497              0      6.76916                    0.439613                 28                  0.198333            0.000193321  bytetrack
    19  0.691826              0      9.99983                    0.375742                 60                  0.060392            0.583913     bytetrack
    20  0.69159               1      9.99758                    0.629491                 58                  0.341646            0.000267246  bytetrack
    21  0.689698              0      7.66705                    0.41219                  60                  0.349006            0.000251317  bytetrack
    22  0.689159              1      9.99911                    0.466561                 40                  0.268055            0.000161696  bytetrack
    23  0.687436              1      7.41603                    0.614833                 40                  0.169691            0.000169245  bytetrack
    24  0.686297              0      5.29326                    0.326628                 29                  0.311183            0.304761     bytetrack
    25  0.683533              1      9.01037                    0.256414                 26                  2.10095e-05         0.319819     bytetrack
    26  0.682226              0      7.36944                    0.484949                 32                  0.12884             0.289368     bytetrack
    27  0.680724              0      6.95427                    0.504074                  3                  0.329449            0.122779     bytetrack
