  Rank       HOTA    appearance_thresh    fuse_score  gmc_method       match_thresh  model      new_track_scaling_factor    proximity_thresh    track_buffer    track_high_scaling_factor    track_low_thresh  tracker_type    with_reid
------  ---------  -------------------  ------------  -------------  --------------  -------  --------------------------  ------------------  --------------  ---------------------------  ------------------  --------------  -----------
     0  0.69013                   0.25             0  sparseOptFlow        8.67631   auto                     0.399465                   0.5              27                  0.163782            0.264042     botsort         False
     1  0.68972                   0.25             0  sparseOptFlow        6.71128   auto                     0.309674                   0.5              21                  0.0859882           0.353941     botsort         False
     2  0.689551                  0.25             0  sparseOptFlow        3.76345   auto                     0.22279                    0.5              31                  0.190895            0.430692     botsort         False
     3  0.689451                  0.25             0  sparseOptFlow        8.59228   auto                     0.157563                   0.5              56                  0.0299971           0.386118     botsort         False
     4  0.689395                  0.25             0  sparseOptFlow        2.50378   auto                     0.1573                     0.5              38                  0.0641008           0.467233     botsort         False
     5  0.689326                  0.25             0  sparseOptFlow        9.99947   auto                     0.346909                   0.5              20                  0.000431976         0.297558     botsort         False
     6  0.689289                  0.25             0  sparseOptFlow        3.59319   auto                     0.108436                   0.5              34                  0.131681            0.432687     botsort         False
     7  0.689269                  0.25             0  sparseOptFlow        4.97301   auto                     0.449007                   0.5              31                  0.208092            0.142584     botsort         False
     8  0.689155                  0.25             0  sparseOptFlow        5.06684   auto                     0.196358                   0.5              38                  0.000134968         0.328323     botsort         False
     9  0.688805                  0.25             1  sparseOptFlow        9.99326   auto                     0.392835                   0.5              30                  0.175795            0.249151     botsort         False
    10  0.688502                  0.25             0  sparseOptFlow        9.70009   auto                     0.473494                   0.5              22                  0.233135            0.0693586    botsort         False
    11  0.688389                  0.25             0  sparseOptFlow        6.88641   auto                     0.296213                   0.5              24                  0.199237            0.100996     botsort         False
    12  0.688324                  0.25             0  sparseOptFlow        9.99571   auto                     0.278708                   0.5              52                  8.97042e-05         0.196442     botsort         False
    13  0.688167                  0.25             1  sparseOptFlow        9.99905   auto                     0.449614                   0.5              60                  0.496667            0.0835866    botsort         False
    14  0.687757                  0.25             0  sparseOptFlow        9.99948   auto                     0.463006                   0.5              42                  0.000545716         0.371948     botsort         False
    15  0.687469                  0.25             1  sparseOptFlow        3.81054   auto                     0.561081                   0.5              42                  0.587507            0.0573738    botsort         False
    16  0.687285                  0.25             1  sparseOptFlow        7.15436   auto                     0.46645                    0.5              46                  0.0896049           0.205522     botsort         False
    17  0.687214                  0.25             1  sparseOptFlow        6.82833   auto                     0.511008                   0.5              45                  0.401449            0.000251107  botsort         False
    18  0.687149                  0.25             0  sparseOptFlow        5.73101   auto                     0.243313                   0.5              41                  0.126871            0.48622      botsort         False
    19  0.686963                  0.25             1  sparseOptFlow        6.94466   auto                     0.587779                   0.5              47                  0.417564            0.157476     botsort         False
