  Rank       HOTA    match_thresh    track_buffer    track_thresh  tracker_type
------  ---------  --------------  --------------  --------------  --------------
     0  0.665749       6.72837                 24     0.364523     centroidtrack
     1  0.665213       6.643                   60     0.376237     centroidtrack
     2  0.664938       6.69274                 20     0.381511     centroidtrack
     3  0.664897       9.99889                 22     0.379308     centroidtrack
     4  0.664885       1.29888                  3     0.380938     centroidtrack
     5  0.66434        6.92164                 37     0.388007     centroidtrack
     6  0.66419        6.64825                 14     0.404696     centroidtrack
     7  0.66382        9.99403                 42     0.44074      centroidtrack
     8  0.663518       3.73528                 48     0.43444      centroidtrack
     9  0.663083       4.57591                 25     0.446712     centroidtrack
    10  0.662908       9.9997                   2     0.446441     centroidtrack
    11  0.658534       5.88846                 10     0.458303     centroidtrack
    12  0.657228       8.01814                 59     0.335364     centroidtrack
    13  0.657128       7.50936                 24     0.464158     centroidtrack
    14  0.656204       5.85657                 28     0.318872     centroidtrack
    15  0.655448       6.71425                 60     0.314644     centroidtrack
    16  0.65543        4.54042                  1     0.328985     centroidtrack
    17  0.654682       6.60428                 19     0.304975     centroidtrack
    18  0.653685       8.76654                 25     0.299717     centroidtrack
    19  0.652583       3.51226                  4     0.264464     centroidtrack
    20  0.65182        9.98572                 34     0.274866     centroidtrack
    21  0.649349       6.791                   45     0.258995     centroidtrack
    22  0.648924       9.90962                 16     0.254114     centroidtrack
    23  0.648667       0.716341                40     0.250445     centroidtrack
    24  0.64856        1.33178                  6     0.249341     centroidtrack
    25  0.647833       0.127118                60     0.219676     centroidtrack
    26  0.647699       6.24751                 43     0.22437      centroidtrack
    27  0.647662       6.88478                 60     0.22271      centroidtrack
    28  0.647578       2.47138                 34     0.22857      centroidtrack
    29  0.64653        9.85197                  5     0.234629     centroidtrack
    30  0.640825       5.90717                 36     0.170253     centroidtrack
    31  0.64047        7.72338                 41     0.17716      centroidtrack
    32  0.640445       9.18365                 35     0.513779     centroidtrack
    33  0.639017       1.37222                 20     0.163254     centroidtrack
    34  0.63411        6.84596                 60     0.538125     centroidtrack
    35  0.632495       3.70539                 28     0.136488     centroidtrack
    36  0.63218        4.53561                 53     0.542342     centroidtrack
    37  0.631778       6.95894                 60     0.547831     centroidtrack
    38  0.626279       6.99752                 31     0.122706     centroidtrack
    39  0.62497        0.0875697               18     0.526022     centroidtrack
    40  0.623952       8.72098                 34     0.121038     centroidtrack
    41  0.620703       0.44217                 48     0.57034      centroidtrack
    42  0.616627       2.66886                 38     0.107597     centroidtrack
    43  0.605359       6.94525                 16     0.0927491    centroidtrack
    44  0.6037         3.76055                 57     0.0903048    centroidtrack
    45  0.601115       8.68583                 29     0.612578     centroidtrack
    46  0.598802       6.67103                 30     0.07968      centroidtrack
    47  0.598199       9.99942                 19     0.0793963    centroidtrack
    48  0.598014       0.0512062               10     0.535225     centroidtrack
    49  0.591594       1.29323                 43     0.0690549    centroidtrack
    50  0.589994       3.55401                 11     0.0651889    centroidtrack
    51  0.58769        9.99851                  1     0.0627861    centroidtrack
    52  0.584779       4.59244                 44     0.0616556    centroidtrack
    53  0.582133       1.33715                 32     0.649735     centroidtrack
    54  0.5798         6.06566                 45     0.0559349    centroidtrack
    55  0.563508       3.70155                 20     0.673367     centroidtrack
    56  0.56024        9.88436                 60     0.0397469    centroidtrack
    57  0.556018       7.23287                 43     0.681908     centroidtrack
    58  0.540746       6.9309                   1     0.697287     centroidtrack
    59  0.5376         5.76458                  7     0.702741     centroidtrack
    60  0.530083       4.59383                 57     0.711993     centroidtrack
    61  0.527262       7.50486                 23     0.0247694    centroidtrack
    62  0.51039        3.99369                 54     0.731493     centroidtrack
    63  0.45313        6.67862                  1     0.7747       centroidtrack
    64  0.44848        5.32708                 19     0.778629     centroidtrack
    65  0.344885       3.40991                  5     0.822725     centroidtrack
    66  0.336793       5.84947                 60     0.001587     centroidtrack
    67  0.170176       7.5143                  25     0.877315     centroidtrack
    68  0.164468       1.88371                 52     0.878381     centroidtrack
    69  0.0442648      0.00235729               1     0.325163     centroidtrack
    70  0.030034       0.00126032               1     0.000405794  centroidtrack
    71  0.0294029      0.00146713              18     0.0990748    centroidtrack
    72  0.026678       0.00134531              22     0.530523     centroidtrack
    73  0              9.34282                 31     0.957324     centroidtrack
    74  0              9.99846                 24     0.999739     centroidtrack
