  Rank       HOTA    match_thresh    track_buffer    track_thresh  tracker_type
------  ---------  --------------  --------------  --------------  --------------
     0  0.785806      6.71422                  60     0.324562     centroidtrack
     1  0.785422      4.17665                  60     0.300175     centroidtrack
     2  0.785412      9.99929                  60     0.356801     centroidtrack
     3  0.785369      7.34658                  40     0.365654     centroidtrack
     4  0.785081      2.89712                   1     0.308921     centroidtrack
     5  0.784764      2.13394                   1     0.2772       centroidtrack
     6  0.784587      7.78663                   1     0.271652     centroidtrack
     7  0.784471      6.11906                  23     0.267858     centroidtrack
     8  0.784409      5.33134                  38     0.329085     centroidtrack
     9  0.784366      1.88492                  40     0.342133     centroidtrack
    10  0.784366      2.49906                  60     0.331628     centroidtrack
    11  0.784279      8.01814                  59     0.335364     centroidtrack
    12  0.784279      9.54358                   1     0.335598     centroidtrack
    13  0.784231      9.44892                  48     0.339645     centroidtrack
    14  0.78341       1.02658                  45     0.254586     centroidtrack
    15  0.783278      9.98921                   1     0.262006     centroidtrack
    16  0.781567      1.08323                  26     0.252803     centroidtrack
    17  0.781532      0.716341                 40     0.250445     centroidtrack
    18  0.781532      9.99461                  30     0.248243     centroidtrack
    19  0.781366      3.8381                    8     0.244498     centroidtrack
    20  0.781154      9.85197                   5     0.234629     centroidtrack
    21  0.781154      3.32067                  54     0.234766     centroidtrack
    22  0.780373      1.29888                   3     0.380938     centroidtrack
    23  0.779607      4.72571                   1     0.23045      centroidtrack
    24  0.779607      8.51818                   1     0.233758     centroidtrack
    25  0.779129      7.60438                  60     0.203319     centroidtrack
    26  0.779102      0.945495                  9     0.202195     centroidtrack
    27  0.778615      9.99909                  60     0.19127      centroidtrack
    28  0.778367      8.59411                  31     0.420307     centroidtrack
    29  0.778212      6.64825                  14     0.404696     centroidtrack
    30  0.778212      9.99964                  26     0.399395     centroidtrack
    31  0.777366      3.73528                  48     0.43444      centroidtrack
    32  0.777259      3.50587                  33     0.188955     centroidtrack
    33  0.777245      5.75775                   1     0.44035      centroidtrack
    34  0.777113      8.62651                  60     0.185076     centroidtrack
    35  0.776867      0.881286                 42     0.179301     centroidtrack
    36  0.775507      4.57591                  25     0.446712     centroidtrack
    37  0.775259      6.06776                  60     0.45793      centroidtrack
    38  0.774976      1.9513                    1     0.459311     centroidtrack
    39  0.773236      5.46425                   1     0.168206     centroidtrack
    40  0.773062      1.37222                  20     0.163254     centroidtrack
    41  0.77156       9.99811                  60     0.48644      centroidtrack
    42  0.770634      7.95128                  27     0.510177     centroidtrack
    43  0.770608      9.25118                   1     0.500805     centroidtrack
    44  0.770608      9.98557                  18     0.501369     centroidtrack
    45  0.770218      9.18365                  35     0.513779     centroidtrack
    46  0.76866       6.99669                  60     0.538687     centroidtrack
    47  0.768468      0.910525                  1     0.541476     centroidtrack
    48  0.768336      6.69173                  45     0.138399     centroidtrack
    49  0.766426      6.99752                  31     0.122706     centroidtrack
    50  0.765922      4.91087                  60     0.118033     centroidtrack
    51  0.762126      2.66886                  38     0.107597     centroidtrack
    52  0.760969      6.50962                   1     0.605189     centroidtrack
    53  0.757035      8.68583                  29     0.612578     centroidtrack
    54  0.755907      1.2728                   36     0.618955     centroidtrack
    55  0.752022      0.186727                  1     0.657157     centroidtrack
    56  0.75          6.06566                  45     0.0559349    centroidtrack
    57  0.741372      7.23287                  43     0.681908     centroidtrack
    58  0.73304       5.76458                   7     0.702741     centroidtrack
    59  0.729863      7.50486                  23     0.0247694    centroidtrack
    60  0.720555      0.0512062                10     0.535225     centroidtrack
    61  0.718466      4.23047                  13     0.0145898    centroidtrack
    62  0.711563      3.99369                  54     0.731493     centroidtrack
    63  0.669195      5.32708                  19     0.778629     centroidtrack
    64  0.61191       1.2892                   14     0.809079     centroidtrack
    65  0.582463      3.40991                   5     0.822725     centroidtrack
    66  0.513164      1.93162                   1     0.000314219  centroidtrack
    67  0.438854      0.0179324                60     0.00108569   centroidtrack
    68  0.409283      9.99998                   1     0.000105191  centroidtrack
    69  0.34611       1.88371                  52     0.878381     centroidtrack
    70  0.0499204     0.0023405                60     0.393242     centroidtrack
    71  0.0298878     0.0013601                60     0.290106     centroidtrack
    72  0.0234909     0.000908589               1     0.313527     centroidtrack
    73  0.0153412     9.34282                  31     0.957324     centroidtrack
    74  0             6.64047                   1     0.984998     centroidtrack
