  Rank        HOTA    match_thresh    track_buffer    track_thresh  tracker_type
------  ----------  --------------  --------------  --------------  --------------
     0  0.769088       1.70079                  14     0.399599     centroidtrack
     1  0.769086       2.35613                   5     0.385132     centroidtrack
     2  0.769045       6.29874                  60     0.402344     centroidtrack
     3  0.769011       1.66445                   1     0.397323     centroidtrack
     4  0.768581       4.82613                  60     0.350836     centroidtrack
     5  0.768431       6.64825                  14     0.404696     centroidtrack
     6  0.768167       1.29888                   3     0.380938     centroidtrack
     7  0.768162       9.99736                  48     0.417332     centroidtrack
     8  0.767592       8.01814                  59     0.335364     centroidtrack
     9  0.767516       1.75452                   6     0.346599     centroidtrack
    10  0.767427       9.99953                  24     0.330113     centroidtrack
    11  0.767304       4.33203                   1     0.31525      centroidtrack
    12  0.765871       9.00175                   1     0.425368     centroidtrack
    13  0.764248       3.73528                  48     0.43444      centroidtrack
    14  0.76403        1.80992                  34     0.296855     centroidtrack
    15  0.763609       7.66043                  28     0.460657     centroidtrack
    16  0.763567       1.7369                    1     0.463317     centroidtrack
    17  0.763521       9.99786                  60     0.478537     centroidtrack
    18  0.763466       4.57591                  25     0.446712     centroidtrack
    19  0.762404       9.2801                   60     0.287283     centroidtrack
    20  0.762365       7.96822                   6     0.285943     centroidtrack
    21  0.762136       3.75038                  35     0.48086      centroidtrack
    22  0.761908       5.90415                  44     0.271356     centroidtrack
    23  0.761755       1.25834                  43     0.25843      centroidtrack
    24  0.761543       0.716341                 40     0.250445     centroidtrack
    25  0.761343       3.75214                  52     0.242841     centroidtrack
    26  0.759248       5.6017                   60     0.534455     centroidtrack
    27  0.75904        9.85197                   5     0.234629     centroidtrack
    28  0.757768       1.22752                  60     0.222637     centroidtrack
    29  0.757699       8.67695                  33     0.217692     centroidtrack
    30  0.757594       9.99958                   1     0.543109     centroidtrack
    31  0.757497       3.55245                  58     0.215829     centroidtrack
    32  0.757479       6.27913                   1     0.538089     centroidtrack
    33  0.756602       9.18365                  35     0.513779     centroidtrack
    34  0.754527       9.99954                  60     0.197802     centroidtrack
    35  0.749564       1.32873                   5     0.17611      centroidtrack
    36  0.749153       4.10978                   1     0.565881     centroidtrack
    37  0.747631       1.37222                  20     0.163254     centroidtrack
    38  0.747628       5.41466                   1     0.163729     centroidtrack
    39  0.745515       4.94503                  60     0.156888     centroidtrack
    40  0.745508       8.47409                   1     0.127731     centroidtrack
    41  0.744824       2.5941                    1     0.148583     centroidtrack
    42  0.743605       7.06865                   1     0.139032     centroidtrack
    43  0.743564       1.01492                   1     0.589091     centroidtrack
    44  0.740337       6.99752                  31     0.122706     centroidtrack
    45  0.737271       2.66886                  38     0.107597     centroidtrack
    46  0.735175       8.68583                  29     0.612578     centroidtrack
    47  0.734952       0.303273                 12     0.614057     centroidtrack
    48  0.73493        4.89363                  33     0.613798     centroidtrack
    49  0.727971       0.0780556                 1     0.573332     centroidtrack
    50  0.720865       8.00925                  26     0.655314     centroidtrack
    51  0.719371       6.06566                  45     0.0559349    centroidtrack
    52  0.716135       1.28624                   1     0.0486309    centroidtrack
    53  0.715165       2.60946                   1     0.663582     centroidtrack
    54  0.712388       0.0512062                10     0.535225     centroidtrack
    55  0.709936       7.23287                  43     0.681908     centroidtrack
    56  0.703057       8.02653                  28     0.691345     centroidtrack
    57  0.697127       7.50486                  23     0.0247694    centroidtrack
    58  0.69577        5.76458                   7     0.702741     centroidtrack
    59  0.678158       3.99369                  54     0.731493     centroidtrack
    60  0.673899       1.3104                   21     0.735239     centroidtrack
    61  0.651997       4.15626                   1     0.00729755   centroidtrack
    62  0.643188       6.66221                  35     0.00645558   centroidtrack
    63  0.608929       5.32708                  19     0.778629     centroidtrack
    64  0.583547       7.65066                   5     0.793256     centroidtrack
    65  0.511161       3.40991                   5     0.822725     centroidtrack
    66  0.493635       7.67342                  60     0.000434974  centroidtrack
    67  0.412467       9.99595                   1     0.000160068  centroidtrack
    68  0.409531       6.63361                   1     0.848843     centroidtrack
    69  0.271929       1.88371                  52     0.878381     centroidtrack
    70  0.0262397      0.00118723               60     0.590851     centroidtrack
    71  0.0250419      0.000896782              60     0.000107581  centroidtrack
    72  0.0190166      0.00032732                1     0.387454     centroidtrack
    73  0.00141776     9.34282                  31     0.957324     centroidtrack
    74  0              3.74422                   1     0.99514      centroidtrack
