  Rank       HOTA    match_thresh    track_buffer    track_thresh  tracker_type
------  ---------  --------------  --------------  --------------  --------------
     0  0.785477       0.94154                 12     0.275944     ioutrack
     1  0.785423       0.971557                56     0.312796     ioutrack
     2  0.785369       0.99996                 52     0.277588     ioutrack
     3  0.785341       0.99996                 60     0.313026     ioutrack
     4  0.785281       0.93961                 23     0.31985      ioutrack
     5  0.78487        0.99996                 50     0.328747     ioutrack
     6  0.78487        0.99989                 22     0.328496     ioutrack
     7  0.78478        0.999997                12     0.331028     ioutrack
     8  0.784761       0.932782                 1     0.306266     ioutrack
     9  0.784695       0.999997                21     0.263796     ioutrack
    10  0.784327       0.999919                35     0.296497     ioutrack
    11  0.784046       0.923545                60     0.365543     ioutrack
    12  0.783597       0.916573                10     0.351652     ioutrack
    13  0.782382       0.930923                21     0.245454     ioutrack
    14  0.78231        0.985199                 5     0.234629     ioutrack
    15  0.782248       0.944555                44     0.241609     ioutrack
    16  0.781624       0.871993                41     0.344174     ioutrack
    17  0.78133        0.999994                 1     0.372603     ioutrack
    18  0.781318       0.941607                33     0.171525     ioutrack
    19  0.781318       0.921396                48     0.173576     ioutrack
    20  0.781218       0.999884                40     0.177084     ioutrack
    21  0.781026       0.999855                21     0.188563     ioutrack
    22  0.780634       0.908999                60     0.249121     ioutrack
    23  0.780309       0.99996                 24     0.139851     ioutrack
    24  0.779448       0.898131                12     0.173108     ioutrack
    25  0.779421       0.999752                60     0.410806     ioutrack
    26  0.779261       0.99923                  1     0.157837     ioutrack
    27  0.778868       0.826978                 1     0.281657     ioutrack
    28  0.778788       0.999969                28     0.423792     ioutrack
    29  0.778565       0.906462                 1     0.21547      ioutrack
    30  0.778509       0.819132                14     0.280525     ioutrack
    31  0.777543       0.801832                59     0.335364     ioutrack
    32  0.775593       0.875466                54     0.43612      ioutrack
    33  0.775561       0.828494                60     0.166152     ioutrack
    34  0.77498        0.925735                60     0.50916      ioutrack
    35  0.774978       0.99989                  1     0.488822     ioutrack
    36  0.774923       0.95302                 19     0.500198     ioutrack
    37  0.774783       0.999872                44     0.491143     ioutrack
    38  0.774649       0.831669                 1     0.39229      ioutrack
    39  0.774524       0.918372                35     0.513779     ioutrack
    40  0.773841       0.922997                46     0.0999129    ioutrack
    41  0.773805       0.818963                28     0.188938     ioutrack
    42  0.772996       0.907738                 1     0.473355     ioutrack
    43  0.772248       0.800516                49     0.209687     ioutrack
    44  0.771567       0.866282                44     0.538576     ioutrack
    45  0.77072        0.999988                 1     0.574386     ioutrack
    46  0.767564       0.998805                 1     0.0873502    ioutrack
    47  0.767037       0.818965                32     0.471827     ioutrack
    48  0.761922       0.868595                29     0.612578     ioutrack
    49  0.761382       0.817966                39     0.0912469    ioutrack
    50  0.757769       0.74847                  1     0.100955     ioutrack
    51  0.756809       0.710629                60     0.209343     ioutrack
    52  0.754975       0.740013                60     0.537437     ioutrack
    53  0.750402       0.699779                31     0.122706     ioutrack
    54  0.748646       0.723217                23     0.583278     ioutrack
    55  0.741638       0.664856                14     0.404696     ioutrack
    56  0.741346       0.864529                 1     0.0217289    ioutrack
    57  0.734219       0.750509                23     0.0247694    ioutrack
    58  0.731709       0.723312                43     0.681908     ioutrack
    59  0.706951       0.606602                45     0.0559349    ioutrack
    60  0.667391       0.576496                 7     0.702741     ioutrack
    61  0.612108       0.999016                16     0.000499045  ioutrack
    62  0.61057        0.999365                60     0.000472653  ioutrack
    63  0.605065       0.53275                 19     0.778629     ioutrack
    64  0.573913       0.457639                25     0.446712     ioutrack
    65  0.483348       0.399423                54     0.731493     ioutrack
    66  0.441945       0.373584                48     0.43444      ioutrack
    67  0.336581       0.341051                 5     0.822725     ioutrack
    68  0.260189       0.266952                38     0.107597     ioutrack
    69  0.0985381      0.188444                52     0.878381     ioutrack
    70  0.0751641      0.1373                  20     0.163254     ioutrack
    71  0.0675171      0.129967                 3     0.380938     ioutrack
    72  0.0408112      0.0717176               40     0.250445     ioutrack
    73  0.0369682      0.00521016              10     0.535225     ioutrack
    74  0.0126114      0.934288                31     0.957324     ioutrack
