  Rank        HOTA    appearance_thresh    fuse_score  gmc_method       match_thresh  model      new_track_scaling_factor    proximity_thresh    track_buffer    track_high_scaling_factor    track_low_thresh  tracker_type    with_reid
------  ----------  -------------------  ------------  -------------  --------------  -------  --------------------------  ------------------  --------------  ---------------------------  ------------------  --------------  -----------
     0  0.817555                   0.25             0  sparseOptFlow      5.40451     auto                    0.389089                    0.5              60                  0.383354            0.198163     botsort         False
     1  0.81618                    0.25             0  sparseOptFlow      3.86669     auto                    0.000341299                 0.5              60                  0.000755073         0.533671     botsort         False
     2  0.814913                   0.25             1  sparseOptFlow      9.99799     auto                    0.53666                     0.5              45                  0.426808            0.201135     botsort         False
     3  0.814543                   0.25             1  sparseOptFlow      8.29646     auto                    0.242611                    0.5              60                  4.32564e-05         0.552279     botsort         False
     4  0.813266                   0.25             0  sparseOptFlow      7.87397     auto                    0.425089                    0.5              60                  4.32564e-05         0.437765     botsort         False
     5  0.813104                   0.25             0  sparseOptFlow      5.30596     auto                    0.378454                    0.5              60                  0.000317896         0.328734     botsort         False
     6  0.812109                   0.25             0  sparseOptFlow      9.06936     auto                    0.159162                    0.5              60                  7.92065e-05         0.249523     botsort         False
     7  0.811803                   0.25             1  sparseOptFlow      7.15436     auto                    0.46645                     0.5              46                  0.0896049           0.205522     botsort         False
     8  0.811398                   0.25             1  sparseOptFlow      9.99967     auto                    0.437021                    0.5              47                  7.51672e-07         0.471443     botsort         False
     9  0.811269                   0.25             1  sparseOptFlow      9.99545     auto                    0.512663                    0.5              60                  0.000908624         0.26409      botsort         False
    10  0.81069                    0.25             0  sparseOptFlow      7.06865     auto                    0.246723                    0.5              60                  0.418387            0.0479541    botsort         False
    11  0.810312                   0.25             1  sparseOptFlow      7.78124     auto                    0.515287                    0.5              59                  0.325579            0.484654     botsort         False
    12  0.810243                   0.25             0  sparseOptFlow      3.87411     auto                    0.513566                    0.5              60                  0.000813434         0.212323     botsort         False
    13  0.810012                   0.25             1  sparseOptFlow      9.87722     auto                    0.476221                    0.5              60                  0.486146            0.445999     botsort         False
    14  0.809683                   0.25             1  sparseOptFlow      9.99736     auto                    0.356133                    0.5              60                  0.256609            0.574419     botsort         False
    15  0.808581                   0.25             0  sparseOptFlow      5.34515     auto                    0.124138                    0.5              59                  0.00143633          0.210394     botsort         False
    16  0.807865                   0.25             0  sparseOptFlow      7.34659     auto                    0.440957                    0.5              60                  5.23302e-05         0.168481     botsort         False
    17  0.805676                   0.25             1  sparseOptFlow      9.88847     auto                    0.39089                     0.5              51                  7.51672e-07         0.652953     botsort         False
    18  0.801077                   0.25             0  sparseOptFlow      7.61254     auto                    0.000283863                 0.5              60                  0.355744            0.000111739  botsort         False
    19  0.800572                   0.25             0  sparseOptFlow      4.80594     auto                    0.362633                    0.5              60                  0.37173             0.000118629  botsort         False
    20  0.798151                   0.25             1  sparseOptFlow      9.99203     auto                    0.526133                    0.5              53                  0.000216332         0.0588441    botsort         False
    21  0.797746                   0.25             0  sparseOptFlow      2.95368     auto                    0.625597                    0.5              45                  0.245314            0.000107183  botsort         False
