  Rank        HOTA    match_thresh    track_buffer    track_thresh  tracker_type
------  ----------  --------------  --------------  --------------  --------------
     0  0.766322        0.999952                60     0.391758     ioutrack
     1  0.765456        0.88036                 60     0.421579     ioutrack
     2  0.765179        0.999922                 1     0.421255     ioutrack
     3  0.764736        0.99991                 34     0.377596     ioutrack
     4  0.764393        0.873317                25     0.420494     ioutrack
     5  0.764223        0.966303                49     0.422408     ioutrack
     6  0.763921        0.863229                 1     0.359524     ioutrack
     7  0.763775        0.862479                43     0.356927     ioutrack
     8  0.763711        0.922084                 1     0.482803     ioutrack
     9  0.763619        0.999654                18     0.435429     ioutrack
    10  0.763106        0.999987                 1     0.320512     ioutrack
    11  0.763043        0.943643                60     0.486704     ioutrack
    12  0.762908        0.999963                36     0.47718      ioutrack
    13  0.762734        0.774537                 1     0.423486     ioutrack
    14  0.762628        0.932871                60     0.339057     ioutrack
    15  0.762242        0.900194                12     0.47692      ioutrack
    16  0.761728        0.801832                59     0.335364     ioutrack
    17  0.761669        0.796571                29     0.329015     ioutrack
    18  0.761554        0.999984                21     0.307292     ioutrack
    19  0.761175        0.748324                60     0.434727     ioutrack
    20  0.761091        0.893843                35     0.232912     ioutrack
    21  0.760742        0.999859                54     0.275857     ioutrack
    22  0.760714        0.985199                 5     0.234629     ioutrack
    23  0.760658        0.870062                14     0.305629     ioutrack
    24  0.760496        0.999987                11     0.271373     ioutrack
    25  0.760256        0.911506                 1     0.274697     ioutrack
    26  0.760117        0.999856                33     0.251706     ioutrack
    27  0.760094        0.721376                39     0.363347     ioutrack
    28  0.759097        0.881186                34     0.505489     ioutrack
    29  0.758943        0.99875                  1     0.544479     ioutrack
    30  0.758725        0.999986                20     0.511473     ioutrack
    31  0.758404        0.810179                49     0.502166     ioutrack
    32  0.757981        0.918372                35     0.513779     ioutrack
    33  0.757753        0.752417                 1     0.524217     ioutrack
    34  0.757573        0.664856                14     0.404696     ioutrack
    35  0.757143        0.786705                60     0.539896     ioutrack
    36  0.755266        0.633387                60     0.337715     ioutrack
    37  0.755196        0.865149                22     0.196806     ioutrack
    38  0.755128        0.658332                28     0.433912     ioutrack
    39  0.753975        0.705328                38     0.228237     ioutrack
    40  0.753939        0.999586                48     0.183194     ioutrack
    41  0.75386         0.999952                60     0.177234     ioutrack
    42  0.753085        0.644698                52     0.272546     ioutrack
    43  0.751694        0.646883                43     0.522643     ioutrack
    44  0.751293        0.99996                 38     0.147108     ioutrack
    45  0.750377        0.60536                  1     0.475755     ioutrack
    46  0.749265        0.699779                31     0.122706     ioutrack
    47  0.748864        0.643874                18     0.551651     ioutrack
    48  0.747099        0.630143                60     0.190905     ioutrack
    49  0.746408        0.65419                 44     0.15421      ioutrack
    50  0.735539        0.868595                29     0.612578     ioutrack
    51  0.733906        0.53123                 41     0.190101     ioutrack
    52  0.733134        0.586059                60     0.581439     ioutrack
    53  0.730732        0.606602                45     0.0559349    ioutrack
    54  0.722629        0.999909                54     0.0312452    ioutrack
    55  0.720762        0.550936                37     0.608805     ioutrack
    56  0.717388        0.750509                23     0.0247694    ioutrack
    57  0.707713        0.723312                43     0.681908     ioutrack
    58  0.701142        0.457639                25     0.446712     ioutrack
    59  0.689228        0.576496                 7     0.702741     ioutrack
    60  0.675838        0.564936                27     0.00646216   ioutrack
    61  0.620146        0.373584                48     0.43444      ioutrack
    62  0.607959        0.399423                54     0.731493     ioutrack
    63  0.601667        0.53275                 19     0.778629     ioutrack
    64  0.59399         0.999583                32     0.00112502   ioutrack
    65  0.549313        0.691169                60     0.000325956  ioutrack
    66  0.485585        0.822725                 1     0.000145041  ioutrack
    67  0.454521        0.266952                38     0.107597     ioutrack
    68  0.453229        0.341051                 5     0.822725     ioutrack
    69  0.170891        0.188444                52     0.878381     ioutrack
    70  0.164155        0.1373                  20     0.163254     ioutrack
    71  0.149088        0.129967                 3     0.380938     ioutrack
    72  0.0423538       0.0717176               40     0.250445     ioutrack
    73  0.0181101       0.00521016              10     0.535225     ioutrack
    74  0.00141776      0.934288                31     0.957324     ioutrack
